user_id,cohort_month,months_active,retained
48177,2023-01,19,No
16332,2024-01,32,No
31831,2023-06,13,Yes
40117,2024-06,5,Yes
24202,2023-01,23,Yes
45054,2024-06,6,No
44519,2024-01,25,Yes
27770,2023-01,35,Yes
24293,2024-01,35,No
17260,2023-01,28,Yes
13304,2024-01,15,Yes
8249,2023-01,6,Yes
32048,2023-06,15,No
14522,2024-06,22,Yes
19754,2023-06,27,No
32152,2023-01,23,Yes
35375,2023-01,16,Yes
8108,2023-01,9,Yes
16562,2024-01,33,Yes
34963,2023-06,33,No
29007,2023-01,7,No
38573,2023-01,25,No
19981,2023-01,24,Yes
24537,2023-01,19,No
41247,2023-01,12,Yes
4322,2024-06,26,Yes
6388,2023-06,12,Yes
46283,2024-01,6,No
43604,2024-01,22,No
7731,2024-06,34,Yes
46812,2024-06,9,No
15433,2024-01,20,No
18293,2023-06,23,Yes
38879,2023-01,32,Yes
41833,2023-06,19,Yes
20072,2024-01,28,Yes
5694,2023-06,35,No
17324,2024-01,1,No
42971,2024-06,23,No
23159,2023-06,35,Yes
25291,2024-06,11,No
29584,2023-06,26,Yes
36336,2023-06,25,Yes
20905,2023-06,24,No
13525,2024-06,26,No
36344,2024-01,28,No
19180,2024-06,26,No
20515,2023-01,23,Yes
32364,2023-06,32,No
17753,2024-01,18,No
2588,2023-06,13,Yes
43468,2024-01,8,Yes
36043,2024-01,11,Yes
26909,2024-06,4,Yes
45986,2024-06,33,Yes
11158,2023-06,7,No
29251,2024-06,6,Yes
46452,2023-06,34,No
37304,2024-01,34,No
43795,2024-06,3,Yes
28097,2023-01,2,No
19111,2024-06,20,No
30339,2024-01,26,No
1103,2024-01,13,No
27322,2023-06,12,Yes
21654,2024-01,34,Yes
36368,2023-06,11,Yes
21505,2024-01,26,No
3381,2023-06,22,Yes
46204,2024-06,16,Yes
7932,2024-06,8,Yes
10791,2024-01,8,Yes
42003,2023-01,11,Yes
25270,2023-01,6,No
45262,2023-06,12,No
9406,2024-06,23,Yes
29898,2023-01,22,No
3786,2024-06,20,Yes
13815,2024-01,11,No
5219,2023-01,35,Yes
25070,2024-06,1,No
46947,2024-01,2,Yes
32645,2024-01,16,No
49500,2023-06,34,No
2464,2024-06,15,No
17997,2023-06,9,Yes
5267,2024-01,10,No
34342,2023-01,32,Yes
24423,2024-01,9,Yes
6658,2024-06,16,Yes
29701,2024-01,29,No
47109,2023-06,15,No
37865,2023-01,12,No
31395,2024-06,5,Yes
7291,2023-01,27,Yes
43723,2023-06,18,Yes
47832,2023-06,31,Yes
6585,2024-01,4,No
4971,2024-01,9,No
30722,2024-01,11,Yes
30445,2023-06,20,Yes
5908,2024-01,5,Yes
19105,2024-01,9,Yes
24203,2023-01,4,Yes
21740,2024-06,34,Yes
6706,2023-01,32,Yes
9829,2023-06,17,Yes
6212,2023-01,25,Yes
48400,2024-06,8,Yes
35948,2024-06,9,Yes
11175,2023-06,1,No
49228,2023-01,2,No
14780,2023-01,13,Yes
25284,2024-01,24,Yes
29065,2023-06,32,No
22591,2024-06,1,No
45996,2024-01,17,Yes
41287,2023-06,19,Yes
34275,2024-06,4,No
9853,2024-06,11,No
44860,2024-06,16,No
39254,2024-01,28,Yes
49904,2023-01,8,No
40743,2024-01,5,Yes
18480,2024-01,19,Yes
5764,2023-06,12,Yes
40432,2023-01,24,Yes
6382,2024-01,29,No
47835,2024-06,34,No
16100,2024-06,19,No
28725,2023-01,33,Yes
31222,2023-01,28,Yes
9098,2023-06,26,Yes
27268,2024-06,32,Yes
9293,2023-01,3,No
27539,2024-06,13,No
27469,2024-01,35,Yes
33416,2023-06,20,Yes
3172,2024-01,29,No
2555,2024-06,10,No
2029,2024-01,12,Yes
45884,2023-01,15,Yes
18599,2023-06,30,No
34516,2023-06,1,Yes
17064,2023-01,33,No
22203,2023-01,22,No
45016,2024-06,5,No
6676,2023-01,6,No
4173,2023-06,17,No
41455,2024-01,24,Yes
16563,2024-01,24,No
23488,2024-01,30,Yes
16478,2024-01,32,Yes
19349,2024-01,2,Yes
11621,2024-06,2,No
34000,2024-06,22,No
22354,2023-06,1,No
1901,2023-06,9,Yes
6593,2023-01,24,Yes
9048,2023-01,2,No
11251,2024-01,13,Yes
7681,2024-06,16,Yes
34149,2023-01,10,No
9825,2023-06,22,Yes
14917,2024-06,20,Yes
26039,2024-06,10,Yes
12384,2023-01,18,Yes
12153,2023-01,24,Yes
5547,2023-06,32,Yes
24231,2023-01,23,Yes
43263,2024-01,6,No
10297,2023-01,34,Yes
26269,2024-01,10,Yes
8563,2024-06,25,Yes
24401,2023-06,3,No
22033,2024-06,14,No
23911,2024-01,14,No
46450,2023-06,7,Yes
12064,2023-06,6,Yes
